dataset,lr,dropout,n_blocks,metric,test_mean,test_std,n_seeds,val_ndcg20_mean,val_ndcg20_std
sports_and_outdoors,0.003,0.5,2,recall@5,0.018966666666666666,0.0011590225767142473,3,0.024813736571694636,0.0005257417117774715
sports_and_outdoors,0.003,0.8,2,ndcg@10,0.006233333333333334,0.00037859388972001846,3,0.011068455605489677,0.0003017356773720341
sports_and_outdoors,0.003,0.8,2,ndcg@20,0.0082,0.0002645751311064594,3,0.011068455605489677,0.0003017356773720341
sports_and_outdoors,0.003,0.8,2,ndcg@5,0.004733333333333333,0.00035118845842842467,3,0.011068455605489677,0.0003017356773720341
sports_and_outdoors,0.003,0.8,2,recall@10,0.011999999999999999,0.0008888194417315591,3,0.011068455605489677,0.0003017356773720341
sports_and_outdoors,0.003,0.8,2,recall@20,0.0198,0.0015716233645501703,3,0.011068455605489677,0.0003017356773720341
sports_and_outdoors,0.003,0.8,2,recall@5,0.007233333333333334,0.0006658328118479393,3,0.011068455605489677,0.0003017356773720341
toys_and_games,0.0003,0.2,2,ndcg@10,0.041833333333333333,0.00032145502536643313,3,0.05802023902368486,0.0018175743723875214
toys_and_games,0.0003,0.2,2,ndcg@20,0.04883333333333334,0.00015275252316519525,3,0.05802023902368486,0.0018175743723875214
toys_and_games,0.0003,0.2,2,ndcg@5,0.03443333333333334,0.0003511884584284242,3,0.05802023902368486,0.0018175743723875214
toys_and_games,0.0003,0.2,2,recall@10,0.07346666666666667,0.0007023769168568484,3,0.05802023902368486,0.0018175743723875214
toys_and_games,0.0003,0.2,2,recall@20,0.10106666666666668,0.0005033222956847164,3,0.05802023902368486,0.0018175743723875214
toys_and_games,0.0003,0.2,2,recall@5,0.0506,0.0006244997998398394,3,0.05802023902368486,0.0018175743723875214
toys_and_games,0.0003,0.5,2,ndcg@10,0.04203333333333333,0.001123981020005821,3,0.05826030552227481,0.0017792216579392067
toys_and_games,0.0003,0.5,2,ndcg@20,0.048966666666666665,0.001537313674346696,3,0.05826030552227481,0.0017792216579392067
toys_and_games,0.0003,0.5,2,ndcg@5,0.03453333333333333,0.0010503967504392475,3,0.05826030552227481,0.0017792216579392067
toys_and_games,0.0003,0.5,2,recall@10,0.07386666666666668,0.0014468356276140485,3,0.05826030552227481,0.0017792216579392067
toys_and_games,0.0003,0.5,2,recall@20,0.10156666666666665,0.003401960219246156,3,0.05826030552227481,0.0017792216579392067
toys_and_games,0.0003,0.5,2,recall@5,0.05056666666666667,0.001205542754668345,3,0.05826030552227481,0.0017792216579392067
toys_and_games,0.0003,0.8,2,ndcg@10,0.03333333333333333,0.0011372481406154652,3,0.04892315175372225,0.0015885319692491265
toys_and_games,0.0003,0.8,2,ndcg@20,0.0394,0.0009000000000000015,3,0.04892315175372225,0.0015885319692491265
toys_and_games,0.0003,0.8,2,ndcg@5,0.027133333333333332,0.0008504900548115383,3,0.04892315175372225,0.0015885319692491265
toys_and_games,0.0003,0.8,2,recall@10,0.059166666666666666,0.0017214335111567162,3,0.04892315175372225,0.0015885319692491265
